discipline_title,event_title,participant_type,medal_type,country_name,country_3_letter_code,location,year
Shooting,Trap Mixed Team,GameTeam,GOLD,Spain,ESP,tokyo,2020
Shooting,Trap Mixed Team,GameTeam,SILVER,San Marino,SMR,tokyo,2020
Shooting,Trap Mixed Team,GameTeam,BRONZE,United States of America,USA,tokyo,2020
Shooting,50m Rifle 3 Positions women,Athlete,BRONZE,ROC,ROC,tokyo,2020
Shooting,50m Rifle 3 Positions women,Athlete,GOLD,Switzerland,SUI,tokyo,2020
Shooting,50m Rifle 3 Positions women,Athlete,SILVER,ROC,ROC,tokyo,2020
Shooting,50m Rifle 3 Positions Men,Athlete,SILVER,ROC,ROC,tokyo,2020
Shooting,50m Rifle 3 Positions Men,Athlete,GOLD,People's Republic of China,CHN,tokyo,2020
Shooting,50m Rifle 3 Positions Men,Athlete,BRONZE,Serbia,SRB,tokyo,2020
Shooting,25m Rapid Fire Pistol Men,Athlete,SILVER,Cuba,CUB,tokyo,2020
Shooting,25m Rapid Fire Pistol Men,Athlete,GOLD,France,FRA,tokyo,2020
Shooting,25m Rapid Fire Pistol Men,Athlete,BRONZE,People's Republic of China,CHN,tokyo,2020
Shooting,10m Air Rifle Men,Athlete,SILVER,People's Republic of China,CHN,tokyo,2020
Shooting,10m Air Rifle Men,Athlete,GOLD,United States of America,USA,tokyo,2020
Shooting,10m Air Rifle Men,Athlete,BRONZE,People's Republic of China,CHN,tokyo,2020
Shooting,10m Air Rifle women,Athlete,GOLD,People's Republic of China,CHN,tokyo,2020
Shooting,10m Air Rifle women,Athlete,BRONZE,Switzerland,SUI,tokyo,2020
Shooting,10m Air Rifle women,Athlete,SILVER,ROC,ROC,tokyo,2020
Shooting,Trap Men,Athlete,GOLD,Czech Republic,CZE,tokyo,2020
Shooting,Trap Men,Athlete,BRONZE,Great Britain,GBR,tokyo,2020
Shooting,Trap Men,Athlete,SILVER,Czech Republic,CZE,tokyo,2020
Shooting,Skeet women,Athlete,GOLD,United States of America,USA,tokyo,2020
Shooting,Skeet women,Athlete,BRONZE,People's Republic of China,CHN,tokyo,2020
Shooting,Skeet women,Athlete,SILVER,Italy,ITA,tokyo,2020
Shooting,Trap women,Athlete,GOLD,Slovakia,SVK,tokyo,2020
Shooting,Trap women,Athlete,SILVER,United States of America,USA,tokyo,2020
Shooting,Trap women,Athlete,BRONZE,San Marino,SMR,tokyo,2020
Shooting,10m Air Pistol women,Athlete,GOLD,ROC,ROC,tokyo,2020
Shooting,10m Air Pistol women,Athlete,BRONZE,People's Republic of China,CHN,tokyo,2020
Shooting,10m Air Pistol women,Athlete,SILVER,Bulgaria,BUL,tokyo,2020
Shooting,10m Air Rifle Mixed Team,GameTeam,GOLD,People's Republic of China,CHN,tokyo,2020
Shooting,10m Air Rifle Mixed Team,GameTeam,SILVER,United States of America,USA,tokyo,2020
Shooting,10m Air Rifle Mixed Team,GameTeam,BRONZE,ROC,ROC,tokyo,2020
Shooting,25m Pistol Women,Athlete,SILVER,Republic of Korea,KOR,tokyo,2020
Shooting,25m Pistol Women,Athlete,BRONZE,People's Republic of China,CHN,tokyo,2020
Shooting,25m Pistol Women,Athlete,GOLD,ROC,ROC,tokyo,2020
Shooting,10m Air Pistol Men,Athlete,GOLD,Islamic Republic of Iran,IRI,tokyo,2020
Shooting,10m Air Pistol Men,Athlete,SILVER,Serbia,SRB,tokyo,2020
Shooting,10m Air Pistol Men,Athlete,BRONZE,People's Republic of China,CHN,tokyo,2020
Shooting,10m Air Pistol Mixed Team,GameTeam,GOLD,People's Republic of China,CHN,tokyo,2020
Shooting,10m Air Pistol Mixed Team,GameTeam,SILVER,ROC,ROC,tokyo,2020
Shooting,10m Air Pistol Mixed Team,GameTeam,BRONZE,Ukraine,UKR,tokyo,2020
Shooting,Skeet Men,Athlete,BRONZE,Kuwait,KUW,tokyo,2020
Shooting,Skeet Men,Athlete,GOLD,United States of America,USA,tokyo,2020
Shooting,Skeet Men,Athlete,SILVER,Denmark,DEN,tokyo,2020
Diving,Men's Synchronised 3m Springboard,GameTeam,GOLD,People's Republic of China,CHN,tokyo,2020
Diving,Men's Synchronised 3m Springboard,GameTeam,SILVER,United States of America,USA,tokyo,2020
Diving,Men's Synchronised 3m Springboard,GameTeam,BRONZE,Germany,GER,tokyo,2020
Diving,Women's Synchronised 3m Springboard,GameTeam,GOLD,People's Republic of China,CHN,tokyo,2020
Diving,Women's Synchronised 3m Springboard,GameTeam,SILVER,Canada,CAN,tokyo,2020
Diving,Women's Synchronised 3m Springboard,GameTeam,BRONZE,Germany,GER,tokyo,2020
Diving,Men's Synchronised 10m Platform,GameTeam,GOLD,Great Britain,GBR,tokyo,2020
Diving,Men's Synchronised 10m Platform,GameTeam,SILVER,People's Republic of China,CHN,tokyo,2020
Diving,Men's Synchronised 10m Platform,GameTeam,BRONZE,ROC,ROC,tokyo,2020
Diving,Men's 3m Springboard,Athlete,BRONZE,Great Britain,GBR,tokyo,2020
Diving,Men's 3m Springboard,Athlete,GOLD,People's Republic of China,CHN,tokyo,2020
Diving,Men's 3m Springboard,Athlete,SILVER,People's Republic of China,CHN,tokyo,2020
Diving,Women's Synchronised 10m Platform,GameTeam,GOLD,People's Republic of China,CHN,tokyo,2020
Diving,Women's Synchronised 10m Platform,GameTeam,SILVER,United States of America,USA,tokyo,2020
Diving,Women's Synchronised 10m Platform,GameTeam,BRONZE,Mexico,MEX,tokyo,2020
Diving,Women's 10m Platform,Athlete,GOLD,People's Republic of China,CHN,tokyo,2020
Diving,Women's 10m Platform,Athlete,SILVER,People's Republic of China,CHN,tokyo,2020
Diving,Women's 10m Platform,Athlete,BRONZE,Australia,AUS,tokyo,2020
Diving,Men's 10m Platform,Athlete,BRONZE,Great Britain,GBR,tokyo,2020
Diving,Men's 10m Platform,Athlete,SILVER,People's Republic of China,CHN,tokyo,2020
Diving,Men's 10m Platform,Athlete,GOLD,People's Republic of China,CHN,tokyo,2020
Diving,Women's 3m Springboard,Athlete,BRONZE,United States of America,USA,tokyo,2020
Diving,Women's 3m Springboard,Athlete,GOLD,People's Republic of China,CHN,tokyo,2020
Diving,Women's 3m Springboard,Athlete,SILVER,People's Republic of China,CHN,tokyo,2020
Canoe Sprint,Women's Canoe Single 200m,Athlete,BRONZE,Ukraine,UKR,tokyo,2020
Canoe Sprint,Women's Canoe Single 200m,Athlete,SILVER,Canada,CAN,tokyo,2020
Canoe Sprint,Women's Canoe Single 200m,Athlete,GOLD,United States of America,USA,tokyo,2020
Canoe Sprint,Men's Canoe Double 1000m,GameTeam,GOLD,Cuba,CUB,tokyo,2020
Canoe Sprint,Men's Canoe Double 1000m,GameTeam,SILVER,People's Republic of China,CHN,tokyo,2020
Canoe Sprint,Men's Canoe Double 1000m,GameTeam,BRONZE,Germany,GER,tokyo,2020
Canoe Sprint,Men's Kayak Four 500m,GameTeam,GOLD,Germany,GER,tokyo,2020
Canoe Sprint,Men's Kayak Four 500m,GameTeam,SILVER,Spain,ESP,tokyo,2020
Canoe Sprint,Men's Kayak Four 500m,GameTeam,BRONZE,Slovakia,SVK,tokyo,2020
Canoe Sprint,Men's Kayak Double 1000m,GameTeam,GOLD,Australia,AUS,tokyo,2020
Canoe Sprint,Men's Kayak Double 1000m,GameTeam,SILVER,Germany,GER,tokyo,2020
Canoe Sprint,Men's Kayak Double 1000m,GameTeam,BRONZE,Czech Republic,CZE,tokyo,2020
Canoe Sprint,Women's Kayak Single 200m,Athlete,BRONZE,Denmark,DEN,tokyo,2020
Canoe Sprint,Women's Kayak Single 200m,Athlete,SILVER,Spain,ESP,tokyo,2020
Canoe Sprint,Women's Kayak Single 200m,Athlete,GOLD,New Zealand,NZL,tokyo,2020
Canoe Sprint,Women's Canoe Double 500m,GameTeam,GOLD,People's Republic of China,CHN,tokyo,2020
Canoe Sprint,Women's Canoe Double 500m,GameTeam,SILVER,Ukraine,UKR,tokyo,2020
Canoe Sprint,Women's Canoe Double 500m,GameTeam,BRONZE,Canada,CAN,tokyo,2020
Canoe Sprint,Women's Kayak Single 500m,Athlete,SILVER,Hungary,HUN,tokyo,2020
Canoe Sprint,Women's Kayak Single 500m,Athlete,BRONZE,Denmark,DEN,tokyo,2020
Canoe Sprint,Women's Kayak Single 500m,Athlete,GOLD,New Zealand,NZL,tokyo,2020
Canoe Sprint,Women's Kayak Four 500m,GameTeam,GOLD,Hungary,HUN,tokyo,2020
Canoe Sprint,Women's Kayak Four 500m,GameTeam,SILVER,Belarus,BLR,tokyo,2020
Canoe Sprint,Women's Kayak Four 500m,GameTeam,BRONZE,Poland,POL,tokyo,2020
Canoe Sprint,Men's Canoe Single 1000m,Athlete,GOLD,Brazil,BRA,tokyo,2020
Canoe Sprint,Men's Canoe Single 1000m,Athlete,BRONZE,Republic of Moldova,MDA,tokyo,2020
Canoe Sprint,Men's Canoe Single 1000m,Athlete,SILVER,People's Republic of China,CHN,tokyo,2020
Canoe Sprint,Men's Kayak Single 1000m,Athlete,SILVER,Hungary,HUN,tokyo,2020
Canoe Sprint,Men's Kayak Single 1000m,Athlete,BRONZE,Portugal,POR,tokyo,2020
